kod,nazwa,region
2815,powiat ostródzki,1010
3018,powiat ostrzeszowski,2505
1213,powiat oświęcimski,2010
1417,powiat otwocki,4510
1008,powiat pabianicki,2510
1009,powiat pajęczański,2520
0613,powiat parczewski,3005
1418,powiat piaseczyński,4505
2471,powiat Piekary Śląskie,1515
3019,powiat pilski,3510
2608,powiat pińczowski,2005
1010,powiat piotrkowski,2515
1062,powiat Piotrków Trybunalski,2515
2816,powiat piski,0515
3020,powiat pleszewski,2505
1462,powiat Płock,2525
1419,powiat płocki,2525
1420,powiat płoński,2525
1011,powiat poddębicki,2520
3211,powiat policki,5515
0216,powiat polkowicki,5010
3064,powiat Poznań,3510
3021,powiat poznański,3510
1214,powiat proszowicki,2010
1610,powiat prudnicki,5015
1421,powiat pruszkowski,4505
1422,powiat przasnyski,0525
1813,powiat przemyski,4020
1862,powiat Przemyśl,4020
1814,powiat przeworski,4020
1423,powiat przysuski,3010
2410,powiat pszczyński,1520
2211,powiat pucki,1015
0614,powiat puławski,3005
1424,powiat pułtuski,0525
3212,powiat pyrzycki,5515
2411,powiat raciborski,1515
1463,powiat Radom,3010
1425,powiat radomski,3010
1012,powiat radomszczański,2515
0411,powiat radziejowski,1030
0615,powiat radzyński,3005
3022,powiat rawicki,3510
1013,powiat rawski,2510
1815,powiat ropczycko-sędziszowski,4010
2472,powiat Ruda Śląska,1515
2412,powiat rybnicki,1515
2473,powiat Rybnik,1515
0616,powiat rycki,3005
0412,powiat rypiński,1030
1816,powiat rzeszowski,4010
1863,powiat Rzeszów,4010
2609,powiat sandomierski,2005
1817,powiat sanocki,4005
2009,powiat sejneński,0520
0413,powiat sępoleński,1005
1464,powiat Siedlce,3015
1426,powiat siedlecki,3015
2474,powiat Siemianowice Śląskie,1520
2010,powiat siemiatycki,0505
1014,powiat sieradzki,2520
1427,powiat sierpecki,2525
2610,powiat skarżyski,2005
1063,powiat Skierniewice,2510
1015,powiat skierniewicki,2510
3213,powiat sławieński,5510
0805,powiat słubicki,5505
3023,powiat słupecki,3505
2263,powiat Słupsk,1020
2212,powiat słupski,1020
1428,powiat sochaczewski,2525
1429,powiat sokołowski,3015
2011,powiat sokólski,0505
2264,powiat Sopot,1015
